"FILE:ICIB"
"REM: AUKEA AUR LINE    (QNTM)"
"LIMS: 300- 800NM"
"INT:  2NM"
"DATE:06/29 13:55"
"MIN:  300NM  7.339E-03"
"MAX:  752NM  6.394E+00"
 300  7.339E-03
 302  1.495E-02
 304  2.832E-02
 306  4.794E-02
 308  7.501E-02
 310  1.094E-01
 312  1.504E-01
 314  1.920E-01
 316  2.347E-01
 318  2.775E-01
 320  3.186E-01
 322  3.631E-01
 324  4.164E-01
 326  4.937E-01
 328  5.665E-01
 330  6.197E-01
 332  6.462E-01
 334  6.542E-01
 336  6.611E-01
 338  6.780E-01
 340  7.068E-01
 342  7.266E-01
 344  7.312E-01
 346  7.329E-01
 348  7.468E-01
 350  7.652E-01
 352  8.084E-01
 354  8.321E-01
 356  8.302E-01
 358  8.205E-01
 360  8.372E-01
 362  8.920E-01
 364  9.719E-01
 366  1.051E+00
 368  1.104E+00
 370  1.110E+00
 372  1.083E+00
 374  1.072E+00
 376  1.108E+00
 378  1.161E+00
 380  1.154E+00
 382  1.099E+00
 384  1.052E+00
 386  1.082E+00
 388  1.170E+00
 390  1.240E+00
 392  1.261E+00
 394  1.259E+00
 396  1.336E+00
 398  1.557E+00
 400  1.846E+00
 402  2.078E+00
 404  2.203E+00
 406  2.248E+00
 408  2.291E+00
 410  2.360E+00
 412  2.450E+00
 414  2.530E+00
 416  2.587E+00
 418  2.622E+00
 420  2.645E+00
 422  2.679E+00
 424  2.702E+00
 426  2.698E+00
 428  2.653E+00
 430  2.624E+00
 432  2.678E+00
 434  2.832E+00
 436  2.999E+00
 438  3.125E+00
 440  3.232E+00
 442  3.351E+00
 444  3.478E+00
 446  3.585E+00
 448  3.695E+00
 450  3.789E+00
 452  3.847E+00
 454  3.870E+00
 456  3.893E+00
 458  3.948E+00
 460  3.992E+00
 462  4.046E+00
 464  4.071E+00
 466  4.084E+00
 468  4.093E+00
 470  4.134E+00
 472  4.204E+00
 474  4.284E+00
 476  4.364E+00
 478  4.439E+00
 480  4.505E+00
 482  4.524E+00
 484  4.463E+00
 486  4.380E+00
 488  4.361E+00
 490  4.434E+00
 492  4.547E+00
 494  4.637E+00
 496  4.697E+00
 498  4.717E+00
 500  4.700E+00
 502  4.684E+00
 504  4.717E+00
 506  4.774E+00
 508  4.840E+00
 510  4.883E+00
 512  4.886E+00
 514  4.849E+00
 516  4.765E+00
 518  4.712E+00
 520  4.747E+00
 522  4.862E+00
 524  4.977E+00
 526  5.044E+00
 528  5.098E+00
 530  5.180E+00
 532  5.245E+00
 534  5.311E+00
 536  5.363E+00
 538  5.397E+00
 540  5.393E+00
 542  5.351E+00
 544  5.330E+00
 546  5.330E+00
 548  5.342E+00
 550  5.386E+00
 552  5.433E+00
 554  5.488E+00
 556  5.510E+00
 558  5.510E+00
 560  5.274E+00
 562  5.324E+00
 564  5.373E+00
 566  5.403E+00
 568  5.409E+00
 570  5.420E+00
 572  5.441E+00
 574  5.471E+00
 576  5.505E+00
 578  5.525E+00
 580  5.562E+00
 582  5.615E+00
 584  5.657E+00
 586  5.630E+00
 588  5.542E+00
 590  5.440E+00
 592  5.408E+00
 594  5.453E+00
 596  5.521E+00
 598  5.568E+00
 600  5.598E+00
 602  5.643E+00
 604  5.684E+00
 606  5.727E+00
 608  5.741E+00
 610  5.682E+00
 612  5.570E+00
 614  5.503E+00
 616  5.466E+00
 618  5.483E+00
 620  5.546E+00
 622  5.584E+00
 624  5.586E+00
 626  5.548E+00
 628  5.549E+00
 630  5.578E+00
 632  5.619E+00
 634  5.669E+00
 636  5.746E+00
 638  5.792E+00
 640  5.818E+00
 642  5.814E+00
 644  5.809E+00
 646  5.776E+00
 648  5.730E+00
 650  5.699E+00
 652  5.689E+00
 654  5.652E+00
 656  5.584E+00
 658  5.571E+00
 660  5.662E+00
 662  5.823E+00
 664  5.930E+00
 666  5.962E+00
 668  5.978E+00
 670  5.983E+00
 672  5.981E+00
 674  5.987E+00
 676  5.990E+00
 678  6.003E+00
 680  6.024E+00
 682  6.009E+00
 684  5.899E+00
 686  5.680E+00
 688  5.422E+00
 690  5.297E+00
 692  5.333E+00
 694  5.448E+00
 696  5.557E+00
 698  5.627E+00
 700  5.608E+00
 702  5.544E+00
 704  5.494E+00
 706  5.501E+00
 708  5.544E+00
 710  5.595E+00
 712  5.641E+00
 714  5.618E+00
 716  5.391E+00
 718  5.063E+00
 720  4.838E+00
 722  4.814E+00
 724  4.894E+00
 726  4.946E+00
 728  4.956E+00
 730  5.027E+00
 732  5.201E+00
 734  5.425E+00
 736  5.671E+00
 738  5.815E+00
 740  5.908E+00
 742  5.976E+00
 744  6.075E+00
 746  6.180E+00
 748  6.276E+00
 750  6.355E+00
 752  6.394E+00
 754  6.394E+00
 756  6.281E+00
 758  5.772E+00
 760  4.806E+00
 762  3.844E+00
 764  3.492E+00
 766  3.978E+00
 768  4.855E+00
 770  5.606E+00
 772  6.034E+00
 774  6.188E+00
 776  6.214E+00
 778  6.220E+00
 780  6.227E+00
 782  6.224E+00
 784  6.210E+00
 786  6.169E+00
 788  6.104E+00
 790  6.024E+00
 792  5.946E+00
 794  5.912E+00
 796  5.904E+00
 798  5.887E+00
 800  5.830E+00
