"FILE:VA!001"
"REM: AUKEA             (QNTM)"
"LIMS: 300- 800NM"
"INT:  2NM"
"DATE:06/29 15:13"
"MIN:  300NM  2.025E-03"
"MAX:  754NM  1.614E+00"
 300  2.025E-03
 302  3.662E-03
 304  7.081E-03
 306  1.223E-02
 308  1.968E-02
 310  2.946E-02
 312  4.088E-02
 314  5.310E-02
 316  6.569E-02
 318  7.841E-02
 320  9.087E-02
 322  1.037E-01
 324  1.199E-01
 326  1.408E-01
 328  1.615E-01
 330  1.763E-01
 332  1.836E-01
 334  1.851E-01
 336  1.859E-01
 338  1.893E-01
 340  1.961E-01
 342  2.002E-01
 344  2.007E-01
 346  1.997E-01
 348  2.021E-01
 350  2.060E-01
 352  2.166E-01
 354  2.219E-01
 356  2.200E-01
 358  2.159E-01
 360  2.186E-01
 362  2.316E-01
 364  2.513E-01
 366  2.699E-01
 368  2.828E-01
 370  2.830E-01
 372  2.749E-01
 374  2.698E-01
 376  2.777E-01
 378  2.892E-01
 380  2.866E-01
 382  2.717E-01
 384  2.587E-01
 386  2.654E-01
 388  2.859E-01
 390  3.019E-01
 392  3.060E-01
 394  3.041E-01
 396  3.240E-01
 398  3.750E-01
 400  4.433E-01
 402  4.966E-01
 404  5.231E-01
 406  5.318E-01
 408  5.402E-01
 410  5.550E-01
 412  5.744E-01
 414  5.914E-01
 416  6.021E-01
 418  6.080E-01
 420  6.149E-01
 422  6.209E-01
 424  6.241E-01
 426  6.210E-01
 428  6.087E-01
 430  6.017E-01
 432  6.142E-01
 434  6.489E-01
 436  6.856E-01
 438  7.117E-01
 440  7.338E-01
 442  7.594E-01
 444  7.860E-01
 446  8.090E-01
 448  8.310E-01
 450  8.504E-01
 452  8.618E-01
 454  8.649E-01
 456  8.687E-01
 458  8.797E-01
 460  8.877E-01
 462  8.972E-01
 464  9.014E-01
 466  9.020E-01
 468  9.034E-01
 470  9.113E-01
 472  9.258E-01
 474  9.425E-01
 476  9.595E-01
 478  9.755E-01
 480  9.914E-01
 482  9.956E-01
 484  9.878E-01
 486  9.718E-01
 488  9.709E-01
 490  9.915E-01
 492  1.018E+00
 494  1.041E+00
 496  1.057E+00
 498  1.064E+00
 500  1.063E+00
 502  1.063E+00
 504  1.073E+00
 506  1.092E+00
 508  1.113E+00
 510  1.128E+00
 512  1.137E+00
 514  1.133E+00
 516  1.120E+00
 518  1.115E+00
 520  1.132E+00
 522  1.166E+00
 524  1.198E+00
 526  1.219E+00
 528  1.237E+00
 530  1.260E+00
 532  1.284E+00
 534  1.304E+00
 536  1.316E+00
 538  1.322E+00
 540  1.320E+00
 542  1.311E+00
 544  1.306E+00
 546  1.307E+00
 548  1.309E+00
 550  1.317E+00
 552  1.324E+00
 554  1.331E+00
 556  1.330E+00
 558  1.325E+00
 560  1.264E+00
 562  1.267E+00
 564  1.271E+00
 566  1.269E+00
 568  1.261E+00
 570  1.254E+00
 572  1.252E+00
 574  1.252E+00
 576  1.251E+00
 578  1.252E+00
 580  1.258E+00
 582  1.267E+00
 584  1.269E+00
 586  1.252E+00
 588  1.218E+00
 590  1.182E+00
 592  1.165E+00
 594  1.170E+00
 596  1.183E+00
 598  1.194E+00
 600  1.205E+00
 602  1.214E+00
 604  1.222E+00
 606  1.225E+00
 608  1.224E+00
 610  1.216E+00
 612  1.204E+00
 614  1.194E+00
 616  1.186E+00
 618  1.183E+00
 620  1.186E+00
 622  1.185E+00
 624  1.174E+00
 626  1.160E+00
 628  1.143E+00
 630  1.135E+00
 632  1.134E+00
 634  1.142E+00
 636  1.154E+00
 638  1.163E+00
 640  1.167E+00
 642  1.168E+00
 644  1.159E+00
 646  1.146E+00
 648  1.129E+00
 650  1.117E+00
 652  1.115E+00
 654  1.108E+00
 656  1.098E+00
 658  1.100E+00
 660  1.124E+00
 662  1.156E+00
 664  1.178E+00
 666  1.185E+00
 668  1.188E+00
 670  1.190E+00
 672  1.190E+00
 674  1.190E+00
 676  1.191E+00
 678  1.193E+00
 680  1.197E+00
 682  1.191E+00
 684  1.167E+00
 686  1.115E+00
 688  1.055E+00
 690  1.025E+00
 692  1.031E+00
 694  1.057E+00
 696  1.084E+00
 698  1.104E+00
 700  1.117E+00
 702  1.127E+00
 704  1.147E+00
 706  1.176E+00
 708  1.207E+00
 710  1.232E+00
 712  1.244E+00
 714  1.227E+00
 716  1.159E+00
 718  1.061E+00
 720  9.907E-01
 722  9.821E-01
 724  1.006E+00
 726  1.021E+00
 728  1.029E+00
 730  1.063E+00
 732  1.136E+00
 734  1.230E+00
 736  1.317E+00
 738  1.378E+00
 740  1.422E+00
 742  1.464E+00
 744  1.507E+00
 746  1.547E+00
 748  1.578E+00
 750  1.600E+00
 752  1.613E+00
 754  1.614E+00
 756  1.580E+00
 758  1.435E+00
 760  1.159E+00
 762  8.822E-01
 764  7.771E-01
 766  9.093E-01
 768  1.167E+00
 770  1.392E+00
 772  1.527E+00
 774  1.582E+00
 776  1.589E+00
 778  1.595E+00
 780  1.597E+00
 782  1.596E+00
 784  1.589E+00
 786  1.570E+00
 788  1.538E+00
 790  1.504E+00
 792  1.479E+00
 794  1.471E+00
 796  1.469E+00
 798  1.467E+00
 800  1.460E+00
