"FILE:VG"
"REM: METSA             (QNTM)"
"LIMS: 300- 800NM"
"INT:  2NM"
"DATE:06/29 14:54"
"MIN:  300NM  3.416E-04"
"MAX:  784NM  3.605E-01"
 300  3.416E-04
 302  7.691E-04
 304  1.310E-03
 306  2.229E-03
 308  3.293E-03
 310  4.557E-03
 312  6.446E-03
 314  8.149E-03
 316  9.831E-03
 318  1.159E-02
 320  1.338E-02
 322  1.494E-02
 324  1.720E-02
 326  1.987E-02
 328  2.257E-02
 330  2.449E-02
 332  2.514E-02
 334  2.502E-02
 336  2.491E-02
 338  2.502E-02
 340  2.558E-02
 342  2.594E-02
 344  2.570E-02
 346  2.525E-02
 348  2.534E-02
 350  2.574E-02
 352  2.667E-02
 354  2.709E-02
 356  2.660E-02
 358  2.585E-02
 360  2.581E-02
 362  2.709E-02
 364  2.901E-02
 366  3.093E-02
 368  3.202E-02
 370  3.171E-02
 372  3.047E-02
 374  2.970E-02
 376  3.013E-02
 378  3.111E-02
 380  3.055E-02
 382  2.869E-02
 384  2.703E-02
 386  2.740E-02
 388  2.919E-02
 390  3.057E-02
 392  3.062E-02
 394  3.021E-02
 396  3.178E-02
 398  3.635E-02
 400  4.261E-02
 402  4.731E-02
 404  4.946E-02
 406  4.980E-02
 408  5.009E-02
 410  5.093E-02
 412  5.224E-02
 414  5.339E-02
 416  5.396E-02
 418  5.416E-02
 420  5.417E-02
 422  5.440E-02
 424  5.447E-02
 426  5.394E-02
 428  5.267E-02
 430  5.175E-02
 432  5.243E-02
 434  5.506E-02
 436  5.780E-02
 438  5.968E-02
 440  6.111E-02
 442  6.284E-02
 444  6.465E-02
 446  6.599E-02
 448  6.726E-02
 450  6.820E-02
 452  6.849E-02
 454  6.808E-02
 456  6.756E-02
 458  6.773E-02
 460  6.769E-02
 462  6.778E-02
 464  6.747E-02
 466  6.703E-02
 468  6.657E-02
 470  6.664E-02
 472  6.717E-02
 474  6.790E-02
 476  6.867E-02
 478  6.937E-02
 480  6.988E-02
 482  6.970E-02
 484  6.823E-02
 486  6.657E-02
 488  6.591E-02
 490  6.666E-02
 492  6.787E-02
 494  6.880E-02
 496  6.925E-02
 498  6.919E-02
 500  6.863E-02
 502  6.815E-02
 504  6.836E-02
 506  6.922E-02
 508  7.022E-02
 510  7.096E-02
 512  7.137E-02
 514  7.109E-02
 516  7.037E-02
 518  7.016E-02
 520  7.147E-02
 522  7.396E-02
 524  7.639E-02
 526  7.807E-02
 528  7.960E-02
 530  8.141E-02
 532  8.318E-02
 534  8.466E-02
 536  8.576E-02
 538  8.638E-02
 540  8.629E-02
 542  8.578E-02
 544  8.541E-02
 546  8.538E-02
 548  8.563E-02
 550  8.607E-02
 552  8.672E-02
 554  8.725E-02
 556  8.720E-02
 558  8.662E-02
 560  8.298E-02
 562  8.290E-02
 564  8.270E-02
 566  8.208E-02
 568  8.104E-02
 570  7.994E-02
 572  7.910E-02
 574  7.841E-02
 576  7.779E-02
 578  7.718E-02
 580  7.703E-02
 582  7.715E-02
 584  7.697E-02
 586  7.588E-02
 588  7.380E-02
 590  7.177E-02
 592  7.081E-02
 594  7.096E-02
 596  7.167E-02
 598  7.217E-02
 600  7.259E-02
 602  7.290E-02
 604  7.317E-02
 606  7.336E-02
 608  7.310E-02
 610  7.244E-02
 612  7.157E-02
 614  7.070E-02
 616  7.001E-02
 618  6.965E-02
 620  6.964E-02
 622  6.942E-02
 624  6.884E-02
 626  6.798E-02
 628  6.725E-02
 630  6.688E-02
 632  6.685E-02
 634  6.726E-02
 636  6.766E-02
 638  6.787E-02
 640  6.770E-02
 642  6.719E-02
 644  6.636E-02
 646  6.523E-02
 648  6.395E-02
 650  6.295E-02
 652  6.244E-02
 654  6.166E-02
 656  6.068E-02
 658  6.036E-02
 660  6.110E-02
 662  6.225E-02
 664  6.283E-02
 666  6.279E-02
 668  6.245E-02
 670  6.210E-02
 672  6.179E-02
 674  6.157E-02
 676  6.145E-02
 678  6.144E-02
 680  6.112E-02
 682  6.097E-02
 684  6.005E-02
 686  5.816E-02
 688  5.624E-02
 690  5.624E-02
 692  5.878E-02
 694  6.290E-02
 696  6.776E-02
 698  7.288E-02
 700  7.815E-02
 702  8.380E-02
 704  9.063E-02
 706  9.851E-02
 708  1.070E-01
 710  1.155E-01
 712  1.236E-01
 714  1.297E-01
 716  1.315E-01
 718  1.304E-01
 720  1.324E-01
 722  1.404E-01
 724  1.519E-01
 726  1.624E-01
 728  1.724E-01
 730  1.865E-01
 732  2.049E-01
 734  2.260E-01
 736  2.459E-01
 738  2.617E-01
 740  2.742E-01
 742  2.862E-01
 744  2.981E-01
 746  3.095E-01
 748  3.195E-01
 750  3.277E-01
 752  3.340E-01
 754  3.380E-01
 756  3.343E-01
 758  3.087E-01
 760  2.607E-01
 762  2.063E-01
 764  1.895E-01
 766  2.163E-01
 768  2.706E-01
 770  3.151E-01
 772  3.414E-01
 774  3.526E-01
 776  3.552E-01
 778  3.574E-01
 780  3.590E-01
 782  3.603E-01
 784  3.605E-01
 786  3.595E-01
 788  3.564E-01
 790  3.522E-01
 792  3.491E-01
 794  3.484E-01
 796  3.493E-01
 798  3.506E-01
 800  3.514E-01
