"FILE:VID"
"REM: RAJA              (QNTM)"
"LIMS: 300- 800NM"
"INT:  2NM"
"DATE:06/29 14:59"
"MIN:  300NM  2.126E-03"
"MAX:  784NM  1.676E+00"
 300  2.126E-03
 302  4.102E-03
 304  7.930E-03
 306  1.351E-02
 308  2.115E-02
 310  3.119E-02
 312  4.301E-02
 314  5.520E-02
 316  6.756E-02
 318  8.014E-02
 320  9.218E-02
 322  1.047E-01
 324  1.209E-01
 326  1.419E-01
 328  1.625E-01
 330  1.766E-01
 332  1.832E-01
 334  1.840E-01
 336  1.841E-01
 338  1.868E-01
 340  1.927E-01
 342  1.965E-01
 344  1.968E-01
 346  1.952E-01
 348  1.973E-01
 350  2.002E-01
 352  2.098E-01
 354  2.148E-01
 356  2.126E-01
 358  2.087E-01
 360  2.114E-01
 362  2.240E-01
 364  2.436E-01
 366  2.622E-01
 368  2.761E-01
 370  2.765E-01
 372  2.689E-01
 374  2.654E-01
 376  2.737E-01
 378  2.870E-01
 380  2.854E-01
 382  2.714E-01
 384  2.601E-01
 386  2.677E-01
 388  2.894E-01
 390  3.074E-01
 392  3.130E-01
 394  3.116E-01
 396  3.321E-01
 398  3.832E-01
 400  4.529E-01
 402  5.057E-01
 404  5.312E-01
 406  5.382E-01
 408  5.422E-01
 410  5.544E-01
 412  5.705E-01
 414  5.842E-01
 416  5.894E-01
 418  5.911E-01
 420  5.904E-01
 422  5.958E-01
 424  5.947E-01
 426  5.860E-01
 428  5.699E-01
 430  5.590E-01
 432  5.643E-01
 434  5.909E-01
 436  6.191E-01
 438  6.386E-01
 440  6.564E-01
 442  6.791E-01
 444  7.053E-01
 446  7.273E-01
 448  7.415E-01
 450  7.536E-01
 452  7.625E-01
 454  7.668E-01
 456  7.739E-01
 458  7.963E-01
 460  8.204E-01
 462  8.445E-01
 464  8.627E-01
 466  8.736E-01
 468  8.879E-01
 470  8.962E-01
 472  9.041E-01
 474  9.177E-01
 476  9.428E-01
 478  9.636E-01
 480  9.939E-01
 482  1.009E+00
 484  1.004E+00
 486  9.916E-01
 488  9.913E-01
 490  1.010E+00
 492  1.039E+00
 494  1.061E+00
 496  1.064E+00
 498  1.057E+00
 500  1.052E+00
 502  1.025E+00
 504  1.016E+00
 506  1.013E+00
 508  1.011E+00
 510  1.006E+00
 512  9.924E-01
 514  9.706E-01
 516  9.464E-01
 518  9.315E-01
 520  9.315E-01
 522  9.414E-01
 524  9.489E-01
 526  9.500E-01
 528  9.496E-01
 530  9.497E-01
 532  9.650E-01
 534  9.829E-01
 536  9.889E-01
 538  9.561E-01
 540  9.403E-01
 542  9.294E-01
 544  9.273E-01
 546  9.571E-01
 548  9.691E-01
 550  9.853E-01
 552  1.003E+00
 554  1.017E+00
 556  1.033E+00
 558  1.047E+00
 560  1.072E+00
 562  1.102E+00
 564  1.127E+00
 566  1.148E+00
 568  1.159E+00
 570  1.167E+00
 572  1.177E+00
 574  1.190E+00
 576  1.206E+00
 578  1.213E+00
 580  1.221E+00
 582  1.235E+00
 584  1.243E+00
 586  1.236E+00
 588  1.218E+00
 590  1.203E+00
 592  1.206E+00
 594  1.231E+00
 596  1.264E+00
 598  1.285E+00
 600  1.295E+00
 602  1.301E+00
 604  1.289E+00
 606  1.277E+00
 608  1.255E+00
 610  1.228E+00
 612  1.189E+00
 614  1.149E+00
 616  1.039E+00
 618  1.033E+00
 620  1.031E+00
 622  1.018E+00
 624  9.918E-01
 626  9.571E-01
 628  9.300E-01
 630  9.054E-01
 632  8.788E-01
 634  8.665E-01
 636  8.599E-01
 638  8.619E-01
 640  8.711E-01
 642  8.629E-01
 644  8.638E-01
 646  8.627E-01
 648  8.597E-01
 650  8.622E-01
 652  8.652E-01
 654  8.518E-01
 656  8.291E-01
 658  8.269E-01
 660  8.473E-01
 662  8.675E-01
 664  8.778E-01
 666  8.820E-01
 668  8.841E-01
 670  8.931E-01
 672  9.030E-01
 674  9.191E-01
 676  9.262E-01
 678  9.273E-01
 680  9.413E-01
 682  9.445E-01
 684  9.421E-01
 686  9.118E-01
 688  8.774E-01
 690  8.587E-01
 692  8.419E-01
 694  8.733E-01
 696  8.971E-01
 698  9.077E-01
 700  9.166E-01
 702  9.245E-01
 704  9.654E-01
 706  1.013E+00
 708  1.053E+00
 710  1.091E+00
 712  1.111E+00
 714  1.109E+00
 716  1.050E+00
 718  9.792E-01
 720  9.257E-01
 722  9.195E-01
 724  9.380E-01
 726  9.506E-01
 728  9.631E-01
 730  9.956E-01
 732  1.050E+00
 734  1.113E+00
 736  1.177E+00
 738  1.223E+00
 740  1.262E+00
 742  1.303E+00
 744  1.344E+00
 746  1.382E+00
 748  1.411E+00
 750  1.434E+00
 752  1.453E+00
 754  1.463E+00
 756  1.436E+00
 758  1.322E+00
 760  1.091E+00
 762  8.607E-01
 764  7.828E-01
 766  9.062E-01
 768  1.130E+00
 770  1.326E+00
 772  1.438E+00
 774  1.482E+00
 776  1.594E+00
 778  1.625E+00
 780  1.645E+00
 782  1.665E+00
 784  1.676E+00
 786  1.671E+00
 788  1.656E+00
 790  1.635E+00
 792  1.621E+00
 794  1.620E+00
 796  1.625E+00
 798  1.627E+00
 800  1.625E+00
